id,reference,clean_input,clean_prediction,unclean_input,unclean_prediction,clean_BERTScore_P,unclean_BERTScore_P,clean_BERTScore_R,unclean_BERTScore_R,clean_BERTScore_F1,unclean_BERTScore_F1,BERTScore_F1_difference,higher_BERTScore_F1
9854,The clowns from the Barracks..🥴,Les guignols des Casernes..🥴,The clowns from the barracks..🥴,Les guignols des casernes..🥴,The barracks clowns..🥴,0.9717099666595459,0.9141894578933716,0.9558180570602417,0.8505053520202637,0.9636985063552856,0.8811982870101929,0.08250021934509277,Clean
11343,Soon we will hear that they are pulling eels out from under the rocks! 🤦🏻‍♀️😂,Bientot pu tande dire pe tire anguilles sous ross tout la! 🤦🏻‍♀️😂,Soon you will hear that they are pulling eels out from under every rock! 🤦🏻‍♀️😂,Bientot pou tend dire pe tir anguilles sous ross tout la 🤦🏻‍♀️😂,Soon you will be hearing that they are pulling eels out from under every rock 🤦🏻‍♀️😂,0.9529975652694702,0.930094838142395,0.9506659507751465,0.9384080171585083,0.9518303275108337,0.9342329502105713,0.01759737730026245,Clean
6025,"A task force to catch 4 ducks and 3 cats?! [NAME] will attack, what are we going to do, my family?",Enn task force pu trap 4 canards ek 3 chattes?! [NAME] pu attaquer ki nu pu fer mo fami?,"A task force to catch 4 ducks and 3 cats?! [NAME] can attack, what are we going to do, my family?",Enn task force pou trap 4 canards ek 3 chattes [NAME] pou attaquer ki nou pou fer mo fami,"A task force to catch 4 ducks and 3 cats [NAME] to attack. What are we going to do, my family?",0.9747726917266846,0.8821251392364502,0.9747726917266846,0.8830680847167969,0.9747726917266846,0.8825963735580444,0.09217631816864014,Clean
10425,"Hey, stop acting like a fool... And then who will remove the fish from the sacred lake?",Ey aret fer boufon dow matlo... Apre ki pu tire bann poissson ki ena dan lac sacre.,They should have made a fool of themselves earlier... After they could have taken out the fish in the sacred lake.,Ey arete fr boufon dow matlo... Apres ki pu tirer ban poissson ki ena dan lac sacrer,"Hey, stop fooling around now, Matlo... After that, you can fish out the fish that are in the sacred lake.",0.667569637298584,0.7036805748939514,0.6934975385665894,0.75165855884552,0.6802865862846375,0.7268786430358887,-0.04659205675125122,Unclean
353,"[NAME], his law and order is worth zero💩 but he's good at catching ducks💪.","[NAME], so law and order zero💩 lor maye canard li forte💪.","[NAME], his law and order is zero 💩, but he is strong when it comes to maye canard 💪.","[NAME], so law and order zero💩 lor maay canard li forte💪","[NAME], so there is zero law and order💩, the duck is really strong💪",0.8565610647201538,0.7969645857810974,0.8930519819259644,0.7635247707366943,0.874426007270813,0.7798863649368286,0.09453964233398438,Clean
8446,"There are experts in everything in Mauritius: weather, politics, law and accidents, etc. It is as if all these pathetic people were there when the accident happened.","Ena expert dans tous zafer a Maurice: meteo, politique, la loi et accident, etc. Kumadir tout se pe met pathetique ti sur place au moment ti ena sa accident.","A real expert on everything in Mauritius, weather, politics, the law and accidents, etc. As if you were there at the scene when that accident happened.",Ena expert dans tous zaffaires a maurice meteo politique lla loi et accident etc kuma dire tout ce p mette pathetique ti sur place aumoment ti ena sa accident,"An expert on everything in Mauritius, the weather, politics, the law, accidents, etc. What can I say? Everything is pathetic. You were on the spot when that accident happened.",0.8169890642166138,0.7580504417419434,0.7799562215805054,0.7736493349075317,0.7980431914329529,0.7657704949378967,0.03227269649505615,Clean
7984,Brown-Séquard is waiting for you to come. They welcome many people with psychiatric problems. They will give you a few shocks to your head.😂,Brown sequard pe atann toi kan to vini. Zot acceuil buku dimunn ki ena problem psychiatric. Zot pu donne toi enpe shock dan to latet.😂,Brown Sequard is waiting for you when you come. They welcome lots of people with psychiatric problems. They will give you a few electric shocks to your head.😂,Brown sequard p atan toi kan to vini zot acceuil boku dimoun ki ena problem psychiatric zot pu done toi impé shock dan to latet😂,"Brown Sequard is waiting for you. When you come, they welcome lots of people with psychiatric problems. They will give you a few shocks to your head 😂",0.8974841237068176,0.8946400284767151,0.8901493549346924,0.8856478929519653,0.893801748752594,0.8901212215423584,0.0036805272102355957,Clean
866,But what about these fish and eels? Are they vegetarian? 🤣🤣🤣🤣,"B sa bann poisson et angilles, ki ena eski zot veg?🤣🤣🤣🤣","And these fish and eels, are they veg too? 🤣🤣🤣🤣",Be sa bann poisson et angilles ki ena eski zot veg🤣🤣🤣🤣,"So are fish and eels vegetarian, then? 🤣🤣🤣🤣",0.8931975364685059,0.9005333185195923,0.8874919414520264,0.8492100238800049,0.8903355598449707,0.8741189241409302,0.016216635704040527,Clean
3410,"Bastard, stop switching your attitude on and off, Paulette. When you do not know what to do, keep quiet; otherwise you will end up humiliated.","Pitin, faire second avec to on /off ton paulette. Quand pas pe kone ki pu faire, chup chap; apre pe bizin bese caleçon.","Damn, [faire second avec to on/off ton paulette]. When you do not know what to do, keep quiet. Then you have to pull down your underwear.",Tinpi faire second avec to on /off ton paulette. Quand pas p coné ki pu faire chup chap aprés p bizin baisse caleçon,"Tinpi, come second with your on/off Paulette. When you do not know what to do, keep quiet, otherwise you will have to lower your underwear.",0.6334730386734009,0.7107646465301514,0.6471679210662842,0.720650315284729,0.6402472257614136,0.7156733274459839,-0.07542610168457031,Unclean
9554,That's a Pinokio costume he's wearing.😂😂😂😂,Sa costume Pinokio ki lor li sa.😂😂😂😂,His Pinocchio costume is on him. 😂😂😂😂,Sa costume pinokio ki lor li sa😂😂😂😂,His Pinocchio costume is on him 😂😂😂😂,0.8712725043296814,0.8531281352043152,0.8622665405273438,0.8376533389091492,0.8667460680007935,0.845319926738739,0.021426141262054443,Clean
