split,input_text,target_text,prediction,sentence_cer,sentence_wer,exact_match,error_categories
test,Moi mo dir laiss saleté la laba em,Moi mo dir laisse salte la labamem.,Moi mo dir laisse salte la laba mem.,0.02857142857142857,0.2857142857142857,False,spacing_error;extra_word_error
test,Kumadir mama la ki in vend so piti san ki piti koner 🤦‍♂️,Kumadir mama la kinn vend so piti sans ki piti kone. 🤦‍♂️,"Kumadir mama la ki inn vande so piti, san ki piti kone? 🤦‍♂️",0.12280701754385964,0.5,False,punctuation_error;capitalization_error;spacing_error;extra_word_error
test,"[NAME], pou 8mois?","[NAME], pu 8mois?","[NAME], pu 8 mois?",0.058823529411764705,0.6666666666666666,False,spacing_error;extra_word_error
test,Cp so so. eil in casserole la aussi ene ferfoot li pas pou faire,CP so somey inn casserole la aussi enn ferfoute li pas pu faire.,CP so so. Eil inn casserole la aussi enn ferfoute li pas pu faire.,0.078125,0.15384615384615385,False,punctuation_error;capitalization_error;spacing_error;extra_word_error
test,"That woman is queen of self control! I'm amazed! Par contre, c'est pas marrant du tt... Mari toupé sa bane malang la Ena aster, cokin gazeuse!!!! Pas met program kan Pena casse dow","That woman is queen of self control! I'mo amazed! Par contre, c'est pas marrant ditou... Mari toupe sa bann malang la ena aster, kokin gazeuse!!!! Pas met program kan pena kas dow.","That woman is queen of self control! I'm amazed! Par contre, c'est pas marrant du tu... Mari toupe sa bann malang la ena aster, kokin gazeuse!!!! Pas met program kan pena kas dow.",0.022222222222222223,0.09375,False,capitalization_error;spacing_error;extra_word_error
test,Met l'ordre dans tous ça la,Met l'ordre dans tusala.,Met l'ordre dans tusa la.,0.041666666666666664,0.5,False,spacing_error;extra_word_error
test,"[NAME], télé novelas 🤣","[NAME], télénovelas 🤣","[NAME], télé novelas. 🤣",0.09523809523809523,0.6666666666666666,False,punctuation_error;spacing_error;extra_word_error
test,Mn ti choisy zordi mn trouve 1 ti garcon p pleurer mn demand li ji ariver li dir mw li rod sn mamam ki apel [NAME] mw ek mn tifii nou pren garcon nou ale rod sn maman e nou reusi trouve snn famille e nou kit li avc sn grand mere,"Mo ti Choisy zordi. Mon truve 1 ti garson pe pleurer, mon demande li ki arrive li dir mwa li rode so mamam ki apel [NAME]. Mwa ek mo tifi nu pran garson nu ale rode so maman. Et nu resi truve so famille et nu kite li avec so gramer.",Mon ti Choisy zordi mon truve 1 ti garson pe pleurer. Mon demande li zis arrive. Li dir mwa li rode so mamam ki apel [NAME]. Mwa ek mo tifi nu pran garson nu ale rode so maman. Et nu resi truve son famille et nu kite li avec so grand mere.,0.0603448275862069,0.21568627450980393,False,punctuation_error;capitalization_error;spacing_error;extra_word_error
test,Bé ki fer pa met 1avi de pluie toransiel???,B kifer pa met 1avi de pluie toransiel???,B kifer pa met 1 avi de pluie toransiel???,0.024390243902439025,0.25,False,spacing_error;extra_word_error
test,"Tous bane ki tial prend cours avec li... (ena beaucoup bane videos cot li ti p enseigne zot), s. v. plait, partage zot lexperience et si nou ti capav coner si laveriter ena super profit ladans...","Tu bann ki ti ale prend cours avec li... (ena beaucoup bann videos kot li ti pe enseigne zot), silvuplet partage zot lexperyans et si nu ti kapav kone si laverite, ena super profit ladan...","Tu bann ki ti ale prend cours avec li... (ena beaucoup bann videos kot li ti pe enseigne zot), SVP plait, partage zot lexperyans et si nu ti kapav kone si laverite ena super profit ladan...",0.047619047619047616,0.08571428571428572,False,capitalization_error;spacing_error;extra_word_error
test,"D foi en tant ki parent nou linstinct protekter pren le decu, mais pou etre ene bn parent nou bzin osi cne laisse nou zenfan recolt cki li semer, pou li ggn lecon. Ceki pli dure, perso mo cmpren madam la p rod ene raison.. Mais pa v dr ki li ena raison","Des fwa entant ki parent nu linstin protekter pran le desu, mais petet enn bann parent nu bizin osi kone laisse nu zanfan recolte seki li semer, pu li gagne lesson. Seki plis dure, perso mo konpran madam la pe rode enn raison.. Mais pa vdire ki li ena raison.","De fwa entant ki parent nu linstin protekter pran le decu, mais pu etre enn bann parent nu bizin osi kone laisse nu zanfan recolte seki li semer, pu li gagne lesson. Seki plis dure, perso mo konpran madam la pe rode enn raison.. Mais pa vdire ki li ena ra",0.04247104247104247,0.1,False,punctuation_error;capitalization_error;spacing_error;extra_word_error
test,P servi problem ladrogue pu defan so incompetence protege to ban officier avant pourki enretour zot pu ena courage pu protege public,Pe servi problem ladrog pu defane so incompetence. Protez to bann officier avant pourki enretour zot pu ena courage protez public.,Pe servi problem ladrog pu defane so incompetence. Protez to bann officier avant pourki enretour zot pu ena courage pu protez public.,0.023076923076923078,0.047619047619047616,False,capitalization_error;spacing_error;extra_word_error
test,Si pou revise a la hausse revisité la hausse du service de vos autobus ( bizin ouvert parapluie dans bus kan la plie tomé) ( kan ou guet en bas ou trouve rue ) chauffeur perna permis contolleur pé dessan pou bate dimoin lor simé alors,"Si pu revise a la hausse, revisité la hausse du service de vos autobus ( bizin ouvert parapluie dans bus kan la pli tombe,) ( kan ou get enba ou truve rue ) chauffeur pena permis, contolleur pe desan pu bate dimunn lor sime, alors.","Si pu revise a la hausse, revisité la hausse du service de vos autobus ( bizin ouvert parapluie dans bus kan la plie tome) ( kan ou get en bas ou truve rue ), chauffeur pena permis contolleur pe desan pu bate dimunn lor sime alors.",0.03463203463203463,0.15555555555555556,False,punctuation_error;capitalization_error;spacing_error;extra_word_error
test,Presque Tous Les jours a ccident,Presque tulezur accident.,Presque tulezur a ccident.,0.04,0.6666666666666666,False,spacing_error;extra_word_error
test,"Si pou revise a la hausse, revisité la hausse du service de vos autobus ( bizin ouvert parapluie dans bus kan la plie tomé,) ( kan ou guet en bas ou trouve rue ) chauffeur perna permis, contolleur pé dessan pou bate dimoin lor simé, alors.......","Si pu revise a la hausse, revisité la hausse du service de vos autobus ( bizin ouvert parapluie dans bus kan la plie tombe,) ( kan ou get enba ou truve rue ) chauffeur pena permis, contolleur pe desan pu bate dimunn lor sime, alors.......","Si pu revise a la hausse, revisité la hausse du service de vos autobus ( bizin ouvert parapluie dans bus kan la plie tome,) ( kan ou get en bas ou truve rue ), chauffeur pena permis, contolleur pe desan pu bate dimunn lor sime, alors.......",0.01680672268907563,0.08888888888888889,False,punctuation_error;spacing_error;extra_word_error
test,Pou legaliz gandia p bzn fer tou sa kalit tinpi la,"[NAME], legalize gandia pe bizin fer tusa kalite tinpi la.",Pu legalize gandia pe bizin fer tu sa kalite enpi la.,0.1724137931034483,0.4,False,punctuation_error;capitalization_error;spacing_error;extra_word_error
test,Si sa vrai. Ti capave met 1 motard a so disposition. N est ce pas? Canard quack quack,"Si sa vrai, ti kapav met 1 motard a so disposition. N'est se pas? Canard quack quack.",Si sa vrai. Ti kapav met 1 motard a so disposition. Enn est se pas? Canard quack quack.,0.07058823529411765,0.23529411764705882,False,punctuation_error;capitalization_error;spacing_error;extra_word_error
test,Li prend plus ki 1 ans pu sa mais sa ki plus important pu encourage so bane officiers li capve fer narier so la bouse pas ouvert devant [NAME],Li prend plus ki 1 ans pu sa. Mais seki plus important pu encourage so bann officiers li kapav fer nanyin so labus pas ouvert devant [NAME].,Li prend plus ki 1 ans pu sa mais seki plus important pu encourage so bann officiers. Li kapav fer nanyin so la bouse pas ouvert devant [NAME].,0.05,0.2222222222222222,False,capitalization_error;spacing_error;extra_word_error
test,B fami ti fie la pas tan zot ditou 1 p bizarre,B fami tifi la pas tande zot ditou enpe bizar.,"B fami ti fie la pas tande zot ditou, 1 pe bizar.",0.10869565217391304,0.5,False,punctuation_error;capitalization_error;spacing_error;extra_word_error
test,Piti la pu dir waiii m fer 1 ministre deranger vin get moi dans lecol m fort... Mais hatsoff to bhai osman mahomed for taking every subject seriously as always,Piti la pu dir oui mo fer 1 ministre deranz vinn get moi dans lekol mo fort... Mais hatsoff to bhai Osman Mahomed for taking every subject seriously as always.,Piti la pu dir oui mo fer 1 ministre deranz vinn get moi dans lekol mo fort... Mais hats off to bhai Osman Mahomed for taking every subject seriously as always.,0.006289308176100629,0.06666666666666667,False,spacing_error;extra_word_error
test,ESKI INFIRMIER DOCTEUR OU ATTANDANT KI REPARE AIRCON ENA PROBLEM LA B LEKIP E S D KI ZOT TRAVAIL FR OPERATION LOR BAN MALADE,"ESKI INFIRMIER, DOCTEUR OU ATTANDANT KI REPARE AIRCON? ENA PROBLEM LA! B LEKIP ESD KI ZOT TRAVAIL FER OPERATION LOR BANN MALADE.","ESKI INFIRMIER, DOCTEUR OU ATTANDANT KI REPARE AIRCON? ENA PROBLEM LA? B LEKIP ET SE KI ZOT TRAVAIL FER OPERATION LOR BANN MALADE.",0.03125,0.13636363636363635,False,punctuation_error;capitalization_error;spacing_error;extra_word_error
test,La banck la pena non,Labank la pena nom?,La banck la pena non.,0.21052631578947367,0.75,False,punctuation_error;capitalization_error;spacing_error;extra_word_error
test,Done moi 5 case ki smf fine impliker dans rodrigue pendant ca dernier 15 ans la z,Donne moi 5 case ki SMF finn impliker dans Rodrigues pendant sa sernier 15 ans la?,Donne moi 5 case ki SMF finn impliker dans Rodrigues pendant sa dernier 15 ans la z.,0.04878048780487805,0.1875,False,punctuation_error;capitalization_error;spacing_error;extra_word_error
test,2pie kan emtel ti faire myt money boss,"Depi kan Emtel ti faire MY.T money, boss.","2 pie kan Emtel ti faire MY.T money, boss?",0.0975609756097561,0.375,False,punctuation_error;capitalization_error;spacing_error;extra_word_error
test,Ban parent iresponsable sa Pou ki inn arrive sa,Bann parent iresponsable sa pu kinn arrive sa.,Bann parent iresponsable sa pu ki inn arrive sa.,0.043478260869565216,0.25,False,capitalization_error;spacing_error;extra_word_error
test,Tombe n juste prix r toi meme polo,Tombe enn just prix ar tomem Polo.,Tombe enn just prix ar toi mem Polo.,0.058823529411764705,0.2857142857142857,False,capitalization_error;spacing_error;extra_word_error
test,Apre pour tir le 🐀 tout,Apre pour tire 🐀 tu.,Apre pour tire le 🐀 tu.,0.15,0.2,False,capitalization_error;spacing_error;extra_word_error
test,Janvier 2026 fek coumanse accident lor accident... Sa. Montre ki car mem applique permis à point.. Sa pa pou change nanien.. Sinon mes sympathies à toutes ses famille😥,"Janvier 2026 fek komans, accident lor accident... Sa. Montre ki karmem applique permis à point.. Sa pa pu change nanyin.. Sinon mes sympathies à toutes ses famille.😥",Janvier 2026 fek komans accident lor accident... Sa montre ki car mem applique permis à point.. Sa pa pu change nanyin.. Sinon mes sympathies à toutes ses famille.😥,0.030303030303030304,0.18518518518518517,False,punctuation_error;capitalization_error;spacing_error;extra_word_error
test,Suspect… gros palto p voyage 🧳,Suspect… gros palto pe voyage.🧳,Suspect… gros palto pe voyage. 🧳,0.03225806451612903,0.4,False,spacing_error;extra_word_error
